Name;miR-28-3p;miR-127-3p;miR-188-5p;miR-324-5p;miR-331-3p;miR-340-5p;miR-505-5p;miR-542-3p;miR-671-5p
AKAP5;1;0;0;0;1;1;0;0;0
BSND;1;0;0;0;0;0;1;1;1
C17orf75;0;0;0;0;0;0;0;1;0
C19orf54;0;0;0;0;0;0;1;0;0
C5orf51;0;0;1;1;1;1;0;0;0
C7orf26;0;0;0;0;0;0;0;0;1
CCDC171;0;0;0;0;0;1;0;1;0
CLSPN;0;0;1;0;0;0;0;1;0
COX15;0;0;1;0;1;1;1;1;1
COX15;0;0;1;0;1;1;1;1;1
DPH5;1;0;0;1;0;1;0;0;0
EEPD1;0;0;1;1;0;0;1;0;0
EXPH5;1;0;0;0;1;1;0;1;0
FA2H;0;0;0;0;0;1;0;0;0
FJX1;0;1;0;1;0;1;0;0;0
HIRIP3;0;1;1;1;0;1;1;0;0
HIRIP3;0;1;1;1;0;1;1;0;0
JCAD;0;0;0;0;1;1;0;0;0
KIAA0408;1;0;0;1;1;1;0;1;0
MBTPS2;0;0;0;0;0;1;0;0;0
MDM1;1;0;0;1;1;1;0;1;0
MLIP;0;0;0;0;0;1;0;1;0
MLIP;0;0;0;0;1;1;1;0;0
MOGS;0;0;0;0;0;0;1;0;1
MYDGF;0;0;0;0;0;0;1;1;0
N4BP3;0;0;0;0;0;0;1;1;0
NFRKB;0;0;0;0;0;0;1;0;1
NOLC1;0;0;0;0;0;1;0;0;0
NOP9;0;0;0;0;0;0;1;1;0
NOP9;0;0;0;0;0;0;1;1;0
NSMCE1;0;0;0;1;0;0;1;1;0
NUP88;0;0;1;0;0;1;0;0;0
RABAC1;0;0;0;1;0;0;0;0;0
RP2;1;0;0;0;0;1;0;0;0
TCFL5;0;0;0;0;0;1;1;0;0
TERT;0;1;0;1;0;0;1;1;1
TMEM213;0;0;1;0;1;0;0;1;0
TRH;0;0;0;0;0;0;0;0;1
USPL1;0;0;0;1;0;0;0;0;1
ZBTB40;0;0;0;1;0;0;1;1;1
