Name;ENST00000394718;ENST00000371265;ENST00000577809;ENST00000378313;ENST00000381647;ENST00000344417;ENST00000380701;ENST00000318121;ENST00000016171;ENST00000370483;ENST00000370109;ENST00000242108;ENST00000265843;ENST00000219368;ENST00000317811;ENST00000279392;ENST00000564026;ENST00000375377;ENST00000483725;ENST00000379484;ENST00000430606;ENST00000274897;ENST00000514921;ENST00000409065;ENST00000262947;ENST00000274605;ENST00000446488;ENST00000405356;ENST00000267425;ENST00000396802;ENST00000361439;ENST00000573584;ENST00000601891;ENST00000218340;ENST00000217162;ENST00000310581;ENST00000442682;ENST00000302649;ENST00000255304;ENST00000404138
miR-28-3p;1;1;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
miR-127-3p;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
miR-118-5p;0;0;0;0;1;0;0;1;1;1;0;1;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0
miR-324-5p;0;0;0;0;1;0;0;0;0;0;1;1;0;0;1;1;1;0;1;0;1;0;0;0;0;0;0;0;0;0;1;0;1;0;0;1;0;0;1;1
miR-331-3p;1;0;0;0;1;0;0;0;1;1;0;0;1;0;0;0;0;1;1;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
miR-340-5p;1;0;0;0;1;0;1;0;1;1;1;0;1;1;1;1;1;1;1;1;1;1;1;0;0;0;0;1;0;0;0;1;0;1;1;0;0;0;0;0
miR-505-5p;0;1;0;1;0;0;0;0;1;1;0;1;0;0;0;1;1;0;0;0;0;0;1;1;1;1;1;0;1;1;1;0;0;0;1;1;0;0;0;1
miR-542-3p;0;1;1;0;0;0;1;1;1;1;0;0;1;0;0;0;0;0;1;0;1;1;0;0;1;1;0;0;1;1;1;0;0;0;0;1;1;0;0;1
miR-671-5p;0;1;0;0;0;1;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;1;0;1;1;1
